,State/UT,Date,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate,New cases
0,Andaman and Nicobar Islands,2020-04-15,11.7401,92.6586,11,1,0,0.0,10,0.9090909090909091,1.0
1,Andhra Pradesh,2020-04-15,15.9129,79.74,483,458,9,0.018633540372670808,16,0.033126293995859216,1.0
2,Arunachal Pradesh,2020-04-15,28.218000000000004,94.7278,1,1,0,0.0,0,0.0,1.0
3,Assam,2020-04-15,26.2006,92.9376,32,31,1,0.03125,0,0.0,1.0
4,Bihar,2020-04-15,25.0961,85.3131,66,36,1,0.015151515151515152,29,0.4393939393939394,1.0
5,Chandigarh,2020-04-15,30.7333,76.7794,21,14,0,0.0,7,0.3333333333333333,1.0
6,Chhattisgarh,2020-04-15,21.2787,81.8661,33,20,0,0.0,13,0.3939393939393939,1.0
7,Delhi,2020-04-15,28.7041,77.1025,1561,1501,30,0.019218449711723255,30,0.019218449711723255,1.0
8,Goa,2020-04-15,15.2993,74.124,7,2,0,0.0,5,0.7142857142857143,1.0
9,Gujarat,2020-04-15,22.2587,71.1924,650,563,28,0.043076923076923075,59,0.09076923076923077,1.0
10,Haryana,2020-04-15,29.0588,76.0856,199,162,3,0.01507537688442211,34,0.1708542713567839,1.0
11,Himachal Pradesh,2020-04-15,31.1048,77.1734,33,19,1,0.030303030303030304,13,0.3939393939393939,1.0
12,Jammu and Kashmir,2020-04-15,33.7782,76.5762,278,244,4,0.014388489208633094,30,0.1079136690647482,1.0
13,Jharkhand,2020-04-15,23.6102,85.2799,27,25,2,0.07407407407407407,0,0.0,1.0
14,Karnataka,2020-04-15,15.3173,75.7139,260,179,10,0.038461538461538464,71,0.27307692307692305,1.0
15,Kerala,2020-04-15,10.8505,76.2711,387,173,3,0.007751937984496124,211,0.5452196382428941,1.0
16,Ladakh,2020-04-15,34.2996,78.2932,17,7,0,0.0,10,0.5882352941176471,1.0
17,Madhya Pradesh,2020-04-15,22.9734,78.6569,730,629,50,0.0684931506849315,51,0.06986301369863014,1.0
18,Maharashtra,2020-04-15,19.7515,75.7139,2687,2250,178,0.06624488276888724,259,0.0963900260513584,1.0
19,Manipur,2020-04-15,24.6637,93.9063,2,1,0,0.0,1,0.5,1.0
20,Meghalaya,2020-04-15,25.467,91.3662,1,1,0,0.0,0,0.0,1.0
21,Mizoram,2020-04-15,23.1645,92.9376,1,1,0,0.0,0,0.0,1.0
22,Nagaland,2020-04-15,26.1584,94.5624,0,0,0,1.0,0,1.0,1.0
23,Odisha,2020-04-15,20.9517,85.0985,60,41,1,0.016666666666666666,18,0.3,1.0
24,Puducherry,2020-04-15,11.9416,79.8083,7,6,0,0.0,1,0.14285714285714285,1.0
25,Punjab,2020-04-15,31.1471,75.3412,176,150,12,0.06818181818181818,14,0.07954545454545454,1.0
26,Rajasthan,2020-04-15,27.0238,74.2179,969,819,3,0.0030959752321981426,147,0.15170278637770898,1.0
27,Tamil Nadu,2020-04-15,11.1271,78.6569,1204,1111,12,0.009966777408637873,81,0.06727574750830564,1.0
28,Telengana,2020-04-15,18.1124,79.0193,624,507,17,0.027243589743589744,100,0.16025641025641027,1.0
29,Tripura,2020-04-15,23.9408,91.9882,2,2,0,0.0,0,0.0,1.0
30,Uttar Pradesh,2020-04-15,26.8467,80.9462,660,605,5,0.007575757575757576,50,0.07575757575757576,1.0
31,Uttarakhand,2020-04-15,30.0668,79.0193,37,28,0,0.0,9,0.24324324324324326,1.0
32,West Bengal,2020-04-15,22.9868,87.855,213,169,7,0.03286384976525822,37,0.17370892018779344,1.0
